age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
0.092924796,0.07395139,0.16338992,-0.09885171,-0.0876367,-0.03137064,0.19270207,0.0437181,0.15676484,-0.22442439,-0.03189422,0.19185275,-0.06044753,-0.0130254235
-0.035992544,0.048650187,0.14855471,-0.09030023,0.053743236,0.070496924,0.14979717,-0.18267578,0.034984175,-0.06505885,0.038860295,0.13273965,-0.12369494,-0.0835854
-0.04667996,0.03738569,-0.17445046,0.09911375,-0.08142052,0.0028974153,0.13004169,-0.17490706,0.08070129,-0.019115087,-0.06944968,0.1647734,-0.03001622,0.060108133
0.13800514,0.011478748,-0.049608238,0.1113953,0.03640703,0.18323556,0.024058942,-0.10804135,0.0598866,-0.25406414,0.042622555,0.13781337,-0.08223811,-0.17151716
0.025466958,0.14863421,-0.04218947,0.040233213,-0.18629082,0.10127568,0.21742186,-0.1247919,0.070456594,-0.0017934069,-0.123768374,0.03826755,-0.15249462,-0.12735038
0.16459262,-0.06481166,-0.15198795,-0.09510498,0.047834497,0.039556615,0.29400638,-0.16604477,0.15478696,-0.16037205,-0.019586472,0.08636421,-0.16601229,0.0845128
-0.11625143,0.24209113,0.032466657,-0.17328347,0.09374482,0.096068375,0.28709877,-0.05423467,0.05972604,0.036553644,0.06856024,0.18521036,-0.0031056686,-0.022105547
-0.096479096,-0.04242333,-0.2229439,-0.14452522,0.066630386,0.25685316,0.107653745,-0.303275,-0.028042335,-0.00992812,0.14570734,0.13783717,-0.06789309,-0.032550573
-0.030816661,0.0137751065,0.021712966,-0.14826743,-0.1404873,0.03197321,0.11881405,-0.055474468,0.08458692,-0.023634523,0.02503978,0.16755798,0.03746979,-0.15961246
-0.09235182,0.15065153,0.016784975,-0.12165716,0.10604077,0.0177283,0.34158367,-0.0632182,0.060867365,-0.07754982,-0.059186123,0.18340091,-0.07457657,0.030720206
0.035907045,0.07855448,0.030078499,0.14461097,-0.0073162904,0.15828432,0.13538544,-0.09798468,0.08136244,-0.10908198,-0.026925143,0.23188658,-0.049827177,-0.021579659
0.037814617,0.005717881,0.10721007,-0.071421236,-0.07306737,-0.02904685,0.08452295,-0.15943334,0.14476024,0.09773368,-0.16836621,0.09731677,-0.12581217,0.17529464
0.096498914,0.01783469,0.022392126,-0.1539507,0.018935122,0.020802991,0.18713745,-0.1926325,0.0932778,-0.056820698,0.07460959,0.078913525,-0.12622583,0.011536369
0.20371401,0.016519602,-0.14129706,-0.06406461,-0.12868743,0.14361268,0.14368661,0.028443836,-0.0057975985,0.010171834,-0.04262677,0.23091547,-0.087231085,0.017156461
-0.020131847,0.0933397,0.05364863,-0.021114666,-0.13970341,0.053082116,0.065403014,-0.27026513,0.12327388,0.03346266,-0.13416404,0.03401096,-0.10281016,0.09975416
-0.03980446,0.022459168,-0.031261317,0.05179729,-0.04099286,0.20176719,0.11395641,-0.09443448,0.1843122,0.009936646,0.034048844,0.28697875,-0.0115439575,-0.07373785
-0.047558025,0.11725807,0.04061833,-0.135018,-0.0102329,-0.07546225,0.1486136,-0.10399484,-0.0009915195,-0.0054874644,-0.03594562,0.11976355,-0.11591403,0.091994345
-0.21001878,0.09487265,0.06428743,-0.09422544,0.011313942,0.17668799,0.22144404,-0.034061886,0.1418851,-0.16262537,0.031800408,0.12227815,-0.030017732,-0.07698148
0.020946288,0.06197807,0.10446644,-0.10306436,0.022451498,0.0020744149,0.121686846,-0.086310774,0.07301788,0.094067976,0.042286534,0.16447099,-0.013550213,-0.07044803
-0.0778262,0.12455885,0.21012305,-0.16589136,-0.0054263147,0.016572895,0.094914116,-0.1548146,-0.008603368,0.13224086,-0.058145393,0.09924675,-0.17161624,-0.0035761837
0.0025596414,0.20249562,0.006319279,-0.09331006,-0.10087214,0.07525021,0.21416004,-0.118427776,-0.019176044,0.107058585,-0.19418806,0.00903684,-0.17389734,0.19997996
0.1199516,0.016916703,-0.016519466,0.024387226,-0.025205187,0.23538256,0.053906113,-0.03600117,0.014448687,0.09986526,0.0071488395,0.22563791,-0.067759536,-0.0014215913
-0.005824169,0.14141917,0.110619865,0.07776463,-0.051153135,0.051525794,0.105990164,-0.116682954,0.015941497,-0.043845613,0.033175413,0.05202818,-0.16980289,-0.067507155
-0.057919092,-0.003092125,0.08149686,0.11697814,-0.0026042815,-0.020291833,0.18350825,-0.116934605,0.2357184,-0.19341096,-0.005580548,0.145689,-0.056637827,0.021689521
0.010795036,0.17509596,0.06386564,-0.081288666,0.11429944,0.14403707,0.06288125,-0.081986256,0.00843182,0.04097285,0.12437613,0.20342724,-0.07395449,-0.23367535
-0.057009824,-0.017885972,-0.074638434,-0.12565835,0.07453265,0.2504592,0.07285841,-0.06609307,-0.009411447,-0.047942013,0.06766309,0.15219109,0.012098191,0.05029176
-0.1003352,0.21380223,0.07204368,-0.06402385,-0.15769807,-0.0041294396,0.30245745,-0.0047770888,0.12035474,0.08243582,-0.04643126,0.11128384,-0.037654795,0.025344262
-0.03989055,0.026942264,0.13455263,-0.096502945,-0.080697946,-0.073078215,0.16437978,-0.020096064,0.11146581,-0.119140685,0.11391038,0.045275565,0.048208885,-0.08949845
0.13973543,0.08807556,0.038540058,0.1040961,-0.07583254,-0.090426356,0.17054752,-0.21619347,0.0707891,-0.24535449,0.015297215,0.09370955,-0.16090338,0.11293822
-0.1686708,0.037186857,0.07233221,-0.119848326,0.18978854,0.09191764,0.16686246,-0.04813739,0.09710035,-0.20432557,-0.083145745,0.19620009,-0.0104798805,0.11295517
-0.05309113,0.20556943,0.22406739,0.12178026,-0.020289406,0.08698573,0.13891849,-0.09623968,0.13837922,0.0018647499,0.053961392,0.019992877,-0.071673974,-0.10514354
-0.10666426,-0.060498323,0.012525151,0.08295897,0.07546417,0.07545828,0.23951644,-0.20803386,0.2025455,-0.22268584,0.13854061,0.22070092,0.043408595,0.016165763
